Symptom,Severity,Suggested Medicine,1mg Link,Description
abdominal pain,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
abnormal menstruation,Medium,Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen,Ibuprofen is commonly used for abnormal menstruation in India due to its anti-inflammatory properties that help reduce pain and inflammation associated with menstrual cramps.
acidity,Low,Omeprazole,https://www.1mg.com/search/all?name=Omeprazole,Omeprazole is commonly used for acidity in India because it is a proton pump inhibitor that helps reduce stomach acid production.
acute liver failure,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
altered sensorium,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
anxiety,Medium,Lorazepam,https://www.1mg.com/search/all?name=Lorazepam,Lorazepam is commonly used for anxiety in India due to its fast-acting sedative effects on the central nervous system.
back pain,Medium,Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen,Ibuprofen is commonly used for back pain in India due to its anti-inflammatory and pain-relieving properties.
belly pain,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
blackheads,Low,Salicylic acid,https://www.1mg.com/search/all?name=Salicylic+acid,"Salicylic acid is commonly used for blackheads in India due to its ability to exfoliate the skin, unclog pores, and reduce inflammation."
bladder discomfort,Medium,Phenazopyridine,https://www.1mg.com/search/all?name=Phenazopyridine,"Phenazopyridine is commonly used for bladder discomfort in India due to its local analgesic effect on the urinary tract mucosa, providing relief from symptoms such as pain, burning, and urgency."
blister,Low,Benzoyl peroxide,https://www.1mg.com/search/all?name=Benzoyl+peroxide,Benzoyl peroxide is commonly used for blisters in India due to its antibacterial properties that help prevent infection and promote healing.
blood in sputum,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
bloody stool,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
blurred and distorted vision,Medium,Carbomer,https://www.1mg.com/search/all?name=Carbomer,Carbomer is commonly used for blurred and distorted vision in India due to its lubricating properties that help improve eye comfort and clarity.
breathlessness,Low,Salbutamol,https://www.1mg.com/search/all?name=Salbutamol,"Salbutamol is commonly used for breathlessness in India because it is a bronchodilator that helps to relax the muscles in the airways, making it easier to breathe."
brittle nails,Low,Biotin,https://www.1mg.com/search/all?name=Biotin,Biotin is commonly used for brittle nails in India because it is a water-soluble B vitamin that plays a key role in promoting healthy nail growth and strength.
bruising,Low,Arnica Montana,https://www.1mg.com/search/all?name=Arnica+Montana,"Arnica Montana is commonly used for bruising in India due to its anti-inflammatory and analgesic properties, which help reduce swelling and pain associated with bruises."
burning micturition,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
chest pain,Low,Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen,Ibuprofen is commonly used for chest pain in India due to its anti-inflammatory properties that can help reduce inflammation and pain in the chest area.
chills,Medium,Paracetamol,https://www.1mg.com/search/all?name=Paracetamol,Paracetamol is commonly used for chills in India as it helps to reduce fever and alleviate the associated symptoms.
cold hands and feets,Low,Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen,Ibuprofen is commonly used for cold hands and feet in India due to its anti-inflammatory properties which can help improve blood circulation.
coma,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
congestion,Medium,Phenylephrine,https://www.1mg.com/search/all?name=Phenylephrine,"Phenylephrine is commonly used for congestion in India because it is a decongestant that constricts blood vessels in the nasal passages, reducing swelling and congestion."
constipation,Medium,Isabgol husk,https://www.1mg.com/search/all?name=Isabgol+husk,Isabgol husk is commonly used for constipation in India because it is a natural source of soluble fiber that helps to bulk up stool and promote regular bowel movements.
continuous feel of urine,Medium,Flavoxate,https://www.1mg.com/search/all?name=Flavoxate,"Flavoxate is commonly used in India for the symptom of continuous feel of urine because it acts as a smooth muscle relaxant, helping to reduce bladder spasms and urgency."
continuous sneezing,Medium,Cetirizine,https://www.1mg.com/search/all?name=Cetirizine,"Cetirizine is commonly used for continuous sneezing in India because it is a second-generation antihistamine that helps to reduce allergic reactions, including sneezing."
cough,Medium,Dextromethorphan,https://www.1mg.com/search/all?name=Dextromethorphan,Dextromethorphan is commonly used for cough in India because it is a cough suppressant that acts on the brain to reduce the urge to cough.
cramps,Medium,Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen,"Ibuprofen is commonly used for cramps in India due to its anti-inflammatory and pain-relieving properties, which help alleviate the discomfort associated with menstrual cramps."
dark urine,Medium,Paracetamol,https://www.1mg.com/search/all?name=Paracetamol,"Paracetamol is commonly used for dark urine in India because it can cause liver damage, which can lead to changes in urine color."
dehydration,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
depression,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
diarrhoea,High,Not available as symptom severity is high,Not available as symptom severity is high,Not available as symptom severity is high
dischromic  patches,Medium,Kojic acid,https://www.1mg.com/search/all?name=Kojic+acid,"Kojic acid is commonly used for dischromic patches in India due to its ability to inhibit tyrosinase, an enzyme involved in melanin production, leading to skin lightening and evening out of skin tone."
distention of abdomen,Medium,Simethicone,https://www.1mg.com/search/all?name=Simethicone,Simethicone is commonly used in India for distention of abdomen because it helps to relieve gas and bloating by breaking down gas bubbles in the digestive system.
dizziness,Medium,Meclizine,https://www.1mg.com/search/all?name=Meclizine,"Meclizine is commonly used for dizziness in India due to its antiemetic and antivertigo properties, which help alleviate symptoms of vertigo and motion sickness."
drying and tingling lips,Medium,Petrolatum,https://www.1mg.com/search/all?name=Petrolatum,"Petrolatum acts as an occlusive barrier, preventing moisture loss and protecting the lips from further drying, making it an effective treatment for dry and tingling lips."
enlarged thyroid,Medium,Levothyroxine,https://www.1mg.com/search/all?name=Levothyroxine,"Levothyroxine is commonly used for enlarged thyroid in India because it helps to regulate thyroid hormone levels and treat hypothyroidism, which can cause thyroid enlargement."
excessive hunger,Low,Metformin,https://www.1mg.com/search/all?name=Metformin,"Metformin is commonly used for excessive hunger in India as it helps to regulate blood sugar levels and reduce insulin resistance, which can help control appetite."
